time,U
2000.7117,19.03
2000.7145,19.43
2000.7172,18.03
2000.7199,17.93
2000.7227,18.13
2000.7254,13.23
2000.7281,12.93
2000.7309,15.63
2000.7336,13.73
2000.7363,14.43
2000.7391,21.13
2000.7418,24.73
2000.7445,25.83
2000.7473,24.83
2000.75,23.03
2000.7527,26.13
2000.7555,22.93
2000.7582,19.63
2000.7609,22.83
2000.7637,22.93
2000.7664,14.83
2000.7691,22.63
2000.7719,22.43
2000.7746,17.83
2000.7773,24.43
2000.7801,22.53
2000.7828,21.53
2000.7855,21.03
2000.7883,24.03
2000.791,22.53
2000.7937,17.93
2000.7964,14.83
2000.7992,14.33
2000.8019,10.63
2000.8046,17.33
2000.8074,15.63
2000.8101,17.43
2000.8128,18.83
2000.8156,27.03
2000.8183,25.63
2000.821,18.23
2000.8238,14.33
2000.8265,21.03
2000.8292,23.53
2000.832,21.43
2000.8347,21.83
2000.8374,17.83
2000.8402,17.53
2000.8429,14.23
2000.8456,12.93
2000.8484,17.43
2000.8511,19.03
2000.8538,17.73
2000.8566,17.53
2000.8593,10.53
2000.862,10.73
2000.8648,21.13
2000.8675,18.93
2000.8702,16.73
2000.873,12.83
2000.8757,13.43
2000.8784,13.33
2000.8811,14.33
2000.8839,15.73
2000.8866,12.13
2000.8893,12.23
2000.8921,13.23
2000.8948,13.13
2000.8975,16.03
2000.9003,14.53
2000.903,17.13
2000.9057,13.73
2000.9085,14.93
2000.9112,17.33
2000.9139,13.23
2000.9167,10.93
2000.9194,14.93
2000.9221,8.83
2000.9249,10.93
2000.9276,8.33
2000.9303,9.23
2000.9331,11.93
2000.9358,13.13
2000.9385,14.23
2000.9413,14.93
2000.944,14.73
2000.9467,13.53
2000.9495,15.93
2000.9522,16.53
2000.9549,17.13
2000.9577,14.53
2000.9604,6.93
2000.9631,8.03
2000.9658,6.83
2000.9686,8.93
2000.9713,7.33
2000.974,15.03
2000.9768,16.53
2000.9795,16.03
2000.9822,17.53
2000.985,19.73
2000.9877,17.53
2000.9904,17.93
2000.9932,18.73
2000.9959,15.83
2000.9986,11.73
2001.0014,14.83
2001.0041,11.63
2001.0068,10.43
2001.0096,15.73
2001.0123,18.73
2001.0151,16.43
2001.0178,9.83
2001.0205,12.23
2001.0233,11.83
2001.026,10.33
2001.0288,11.03
2001.0315,7.23
2001.0342,7.03
2001.037,5.83
2001.0397,5.83
2001.0425,6.03
2001.0452,6.03
2001.0479,3.13
2001.0507,4.33
2001.0534,5.13
2001.0562,4.03
2001.0589,5.23
2001.0616,12.23
2001.0644,9.53
2001.0671,14.33
2001.0699,13.03
2001.0726,13.93
2001.0753,15.23
2001.0781,11.93
2001.0808,8.03
2001.0836,4.53
2001.0863,-2.97
2001.089,-3.97
2001.0918,0.13
2001.0945,3.03
2001.0973,6.23
2001.1,5.13
2001.1027,14.43
2001.1055,17.63
2001.1082,13.63
2001.111,3.83
2001.1137,5.03
2001.1164,7.33
2001.1192,12.33
2001.1219,17.33
2001.1247,14.63
2001.1274,7.93
2001.1301,9.63
2001.1329,9.13
2001.1356,10.93
2001.1384,16.53
2001.1411,20.43
2001.1438,15.13
2001.1466,12.13
2001.1493,9.83
2001.1521,6.73
2001.1548,13.93
2001.1575,15.03
2001.1603,11.33
2001.163,13.43
2001.1658,14.23
2001.1685,16.13
2001.1712,21.13
2001.174,16.23
2001.1767,13.63
2001.1795,16.83
2001.1822,17.43
2001.1849,18.43
2001.1877,17.43
2001.1904,19.23
2001.1932,20.63
2001.1959,21.73
2001.1986,15.93
2001.2014,14.33
2001.2041,9.13
2001.2068,11.83
2001.2096,15.13
2001.2123,13.53
2001.2151,16.53
2001.2178,16.03
2001.2205,18.93
2001.2233,15.43
2001.226,16.03
2001.2288,14.13
2001.2315,12.63
2001.2342,16.03
2001.237,18.83
2001.2397,21.13
2001.2425,19.03
2001.2452,19.43
2001.2479,18.83
2001.2507,17.23
2001.2534,23.93
2001.2562,16.43
2001.2589,22.23
2001.2616,20.23
2001.2644,17.63
2001.2671,15.33
2001.2699,19.03
2001.2726,15.83
2001.2753,13.43
2001.2781,10.83
2001.2808,11.13
2001.2836,15.13
2001.2863,20.93
2001.289,17.73
2001.2918,17.83
2001.2945,15.53
2001.2973,15.53
2001.3,15.63
2001.3027,17.83
2001.3055,20.33
2001.3082,20.33
2001.311,20.33
2001.3137,19.53
2001.3164,19.03
2001.3192,18.03
2001.3219,23.23
2001.3247,16.43
2001.3274,21.03
2001.3301,17.73
2001.3329,20.43
2001.3356,21.33
2001.3384,21.53
2001.3411,17.93
2001.3438,16.53
2001.3466,17.23
2001.3493,15.33
2001.3521,20.83
2001.3548,17.93
2001.3575,20.53
2001.3603,23.33
2001.363,24.53
2001.3658,22.73
2001.3685,26.03
2001.3712,24.23
2001.374,23.53
2001.3767,25.93
2001.3795,21.13
2001.3822,18.43
2001.3849,18.43
2001.3877,19.63
2001.3904,20.93
2001.3932,19.23
2001.3959,19.53
2001.3986,21.13
2001.4014,21.23
2001.4041,24.43
2001.4068,22.83
2001.4096,21.13
2001.4123,19.03
2001.4151,21.63
2001.4178,20.63
2001.4205,22.93
2001.4233,22.13
2001.426,21.33
2001.4288,25.53
2001.4315,20.23
2001.4342,19.33
2001.437,19.03
2001.4397,18.83
2001.4425,18.73
2001.4452,18.53
2001.4479,22.13
2001.4507,22.53
2001.4534,21.13
2001.4562,23.43
2001.4589,21.63
2001.4616,22.43
2001.4644,19.23
2001.4671,25.33
2001.4699,26.23
2001.4726,24.93
