sampling,period,time
44771.5,1361.5537,1981.4593
44772.5,1361.6445,1981.462
44773.5,1361.8235,1981.4648
44774.5,1361.8741,1981.4675
44775.5,1361.7933,1981.4702
44776.5,1361.7106,1981.473
44777.5,1361.5767,1981.4757
44778.5,1361.4096,1981.4784
44779.5,1361.3381,1981.4812
44780.5,1361.272,1981.4839
44781.5,1361.1046,1981.4867
44782.5,1361.0638,1981.4894
44783.5,1361.0544,1981.4921
44784.5,1361.0313,1981.4949
44785.5,1360.943,1981.4976
44786.5,1361.0841,1981.5003
44787.5,1361.2258,1981.5031
44788.5,1361.4846,1981.5058
44789.5,1361.6958,1981.5086
44790.5,1361.7377,1981.5113
44791.5,1361.6796,1981.514
44792.5,1361.6562,1981.5168
44793.5,1361.6852,1981.5195
44794.5,1361.5936,1981.5222
44795.5,1361.5118,1981.525
44796.5,1361.4639,1981.5277
44797.5,1361.3979,1981.5305
44798.5,1361.3538,1981.5332
44799.5,1361.3039,1981.5359
44800.5,1361.1835,1981.5387
44801.5,1361.0969,1981.5414
44802.5,1360.9712,1981.5441
44803.5,1360.8441,1981.5469
44804.5,1360.6063,1981.5496
44805.5,1360.2708,1981.5524
44806.5,1359.7748,1981.5551
44807.5,1359.3429,1981.5578
44808.5,1359.1026,1981.5606
44809.5,1359.0011,1981.5633
44810.5,1359.1835,1981.5661
44811.5,1359.3328,1981.5688
44812.5,1359.679,1981.5715
44813.5,1360.0604,1981.5743
44814.5,1360.4014,1981.577
44815.5,1360.7237,1981.5797
44816.5,1361.0343,1981.5825
44817.5,1361.203,1981.5852
44818.5,1361.1534,1981.588
44819.5,1361.1057,1981.5907
44820.5,1361.0344,1981.5934
44821.5,1360.9458,1981.5962
44822.5,1360.7759,1981.5989
44823.5,1360.6315,1981.6016
44824.5,1360.6667,1981.6044
44825.5,1360.8677,1981.6071
44826.5,1361.1872,1981.6099
44827.5,1361.5093,1981.6126
44828.5,1361.8111,1981.6153
44829.5,1361.8852,1981.6181
44830.5,1361.6784,1981.6208
44831.5,1361.4604,1981.6235
44832.5,1361.2901,1981.6263
44833.5,1361.2119,1981.629
44834.5,1361.2511,1981.6318
44835.5,1361.294,1981.6345
44836.5,1361.5125,1981.6372
44837.5,1361.6198,1981.64
44838.5,1361.6365,1981.6427
44839.5,1361.6418,1981.6454
44840.5,1361.565,1981.6482
44841.5,1361.4199,1981.6509
44842.5,1361.4801,1981.6537
44843.5,1361.5481,1981.6564
44844.5,1361.6639,1981.6591
44845.5,1361.7761,1981.6619
44846.5,1361.8172,1981.6646
44847.5,1361.8676,1981.6674
44848.5,1361.8116,1981.6701
44849.5,1361.711,1981.6728
44850.5,1361.4968,1981.6756
44851.5,1361.2906,1981.6783
44852.5,1361.0139,1981.681
44853.5,1360.8613,1981.6838
44854.5,1360.6718,1981.6865
44855.5,1360.9974,1981.6893
44856.5,1361.1935,1981.692
44857.5,1361.2273,1981.6947
44858.5,1361.2645,1981.6975
44859.5,1361.4259,1981.7002
44860.5,1361.6004,1981.7029
44861.5,1361.7214,1981.7057
44862.5,1361.7133,1981.7084
44863.5,1361.7047,1981.7112
44864.5,1361.6311,1981.7139
44865.5,1361.7245,1981.7166
44866.5,1361.8301,1981.7194
44867.5,1361.9463,1981.7221
44868.5,1361.9914,1981.7248
44869.5,1362.049,1981.7276
44870.5,1362.161,1981.7303
44871.5,1362.207,1981.7331
44872.5,1362.2126,1981.7358
44873.5,1362.1074,1981.7385
44874.5,1362.0213,1981.7413
44875.5,1361.894,1981.744
44876.5,1361.9388,1981.7467
44877.5,1362.0623,1981.7495
44878.5,1362.1042,1981.7522
44879.5,1362.1266,1981.755
44880.5,1362.0096,1981.7577
44881.5,1361.7773,1981.7604
44882.5,1361.5581,1981.7632
44883.5,1361.5832,1981.7659
44884.5,1361.6687,1981.7687
44885.5,1361.6087,1981.7714
44886.5,1361.3902,1981.7741
44887.5,1361.0174,1981.7769
44888.5,1360.6199,1981.7796
44889.5,1360.2898,1981.7823
44890.5,1359.9463,1981.7851
44891.5,1359.7765,1981.7878
44892.5,1359.7076,1981.7906
44893.5,1359.7591,1981.7933
44894.5,1359.9934,1981.796
44895.5,1360.3394,1981.7988
44896.5,1360.8074,1981.8015
44897.5,1361.2735,1981.8042
44898.5,1361.7437,1981.807
44899.5,1362.0227,1981.8097
44900.5,1362.174,1981.8125
44901.5,1362.2612,1981.8152
44902.5,1362.3458,1981.8179
44903.5,1362.3691,1981.8207
44904.5,1362.3887,1981.8234
44905.5,1362.2537,1981.8261
44906.5,1362.1404,1981.8289
44907.5,1361.8664,1981.8316
44908.5,1361.5159,1981.8344
44909.5,1361.2488,1981.8371
44910.5,1361.0997,1981.8398
44911.5,1361.0952,1981.8426
44912.5,1361.3644,1981.8453
44913.5,1361.5643,1981.848
44914.5,1361.7735,1981.8508
44915.5,1361.8589,1981.8535
44916.5,1361.8258,1981.8563
44917.5,1361.6062,1981.859
44918.5,1361.544,1981.8617
44919.5,1361.446,1981.8645
44920.5,1361.4499,1981.8672
44921.5,1361.6783,1981.87
44922.5,1361.9179,1981.8727
44923.5,1362.07,1981.8754
44924.5,1362.0814,1981.8782
44925.5,1361.9514,1981.8809
44926.5,1361.8585,1981.8836
44927.5,1361.8238,1981.8864
44928.5,1361.8452,1981.8891
44929.5,1361.9351,1981.8919
44930.5,1362.041,1981.8946
44931.5,1362.1154,1981.8973
44932.5,1361.9625,1981.9001
44933.5,1361.9264,1981.9028
44934.5,1361.803,1981.9055
44935.5,1361.6184,1981.9083
44936.5,1361.5676,1981.911
44937.5,1361.5261,1981.9138
44938.5,1361.7368,1981.9165
44939.5,1361.9131,1981.9192
44940.5,1362.0679,1981.922
44941.5,1362.0586,1981.9247
44942.5,1361.8539,1981.9274
44943.5,1361.5125,1981.9302
44944.5,1361.0672,1981.9329
44945.5,1360.6223,1981.9357
44946.5,1360.3898,1981.9384
44947.5,1360.4478,1981.9411
44948.5,1360.7565,1981.9439
44949.5,1361.0582,1981.9466
44950.5,1361.3334,1981.9493
44951.5,1361.5497,1981.9521
44952.5,1361.6378,1981.9548
44953.5,1361.7365,1981.9576
44954.5,1361.7104,1981.9603
44955.5,1361.7636,1981.963
44956.5,1361.7792,1981.9658
44957.5,1361.7792,1981.9685
44958.5,1361.7975,1981.9713
44959.5,1361.8473,1981.974
44960.5,1361.7853,1981.9767
44961.5,1361.7366,1981.9795
44962.5,1361.7215,1981.9822
44963.5,1361.7061,1981.9849
44964.5,1361.7382,1981.9877
44965.5,1361.8664,1981.9904
44966.5,1361.9957,1981.9932
44967.5,1362.126,1981.9959
44968.5,1362.2137,1981.9986
44969.5,1362.3222,1982.0014
44970.5,1362.2653,1982.0041
44971.5,1362.2251,1982.0068
44972.5,1362.2184,1982.0096
44973.5,1362.1697,1982.0123
44974.5,1362.1484,1982.0151
44975.5,1362.0901,1982.0178
44976.5,1362.0226,1982.0205
44977.5,1361.9726,1982.0233
44978.5,1361.8483,1982.026
44979.5,1361.8264,1982.0287
44980.5,1361.7893,1982.0315
44981.5,1361.64,1982.0342
44982.5,1361.5349,1982.037
44983.5,1361.3695,1982.0397
44984.5,1361.3997,1982.0424
44985.5,1361.4363,1982.0452
44986.5,1361.5602,1982.0479
44987.5,1361.7353,1982.0507
44988.5,1361.9036,1982.0534
44989.5,1362.0051,1982.0561
44990.5,1362.0207,1982.0589
44991.5,1362.0464,1982.0616
44992.5,1362.0492,1982.0643
44993.5,1362.0698,1982.0671
44994.5,1362.0089,1982.0698
44995.5,1361.8363,1982.0726
44996.5,1361.3934,1982.0753
44997.5,1360.7439,1982.078
44998.5,1360.3003,1982.0808
44999.5,1359.9831,1982.0835
45000.5,1360.2197,1982.0862
45001.5,1360.4416,1982.089
45002.5,1360.8202,1982.0917
45003.5,1361.0786,1982.0945
45004.5,1361.195,1982.0972
45005.5,1360.9934,1982.0999
45006.5,1360.5938,1982.1027
45007.5,1360.1528,1982.1054
45008.5,1359.9468,1982.1081
45009.5,1359.7212,1982.1109
45010.5,1359.8389,1982.1136
45011.5,1360.1218,1982.1164
45012.5,1360.438,1982.1191
45013.5,1360.7059,1982.1218
45014.5,1360.8476,1982.1246
45015.5,1360.7941,1982.1273
45016.5,1360.736,1982.13
45017.5,1360.8094,1982.1328
45018.5,1360.8707,1982.1355
45019.5,1361.0957,1982.1383
45020.5,1361.3536,1982.141
45021.5,1361.6002,1982.1437
45022.5,1361.7769,1982.1465
45023.5,1361.8207,1982.1492
45024.5,1361.8783,1982.152
45025.5,1361.8023,1982.1547
45026.5,1361.5489,1982.1574
45027.5,1361.2126,1982.1602
45028.5,1360.9209,1982.1629
45029.5,1360.7982,1982.1656
45030.5,1360.954,1982.1684
45031.5,1361.0811,1982.1711
45032.5,1361.2088,1982.1739
45033.5,1361.4364,1982.1766
45034.5,1361.6163,1982.1793
45035.5,1361.7368,1982.1821
45036.5,1361.7389,1982.1848
45037.5,1361.7119,1982.1875
45038.5,1361.6311,1982.1903
45039.5,1361.4666,1982.193
45040.5,1361.3096,1982.1958
45041.5,1360.8562,1982.1985
45042.5,1360.0671,1982.2012
45043.5,1359.5125,1982.204
45044.5,1359.3639,1982.2067
45045.5,1359.4252,1982.2094
45046.5,1359.8303,1982.2122
45047.5,1360.2422,1982.2149
45048.5,1360.6397,1982.2177
45049.5,1360.8503,1982.2204
45050.5,1360.8147,1982.2231
