time,value
1889.125,6874
1889.2083,6726
1889.2917,6700
1889.375,6675
1889.4583,6701
1889.5417,6794
1889.625,6853
1889.7083,6854
1889.7917,6732
1889.875,6768
1889.9583,6669
1890.0417,6827
1890.125,6537
1890.2083,6706
1890.2917,6696
1890.375,6706
1890.4583,6707
1890.5417,6811
1890.625,6770
1890.7083,6675
1890.7917,6937
1890.875,6794
1890.9583,6495
1891.0417,6615
1891.125,6511
1891.2083,6795
1891.2917,6609
1891.375,6696
1891.4583,6707
1891.5417,6781
1891.625,6793
1891.7083,6735
1891.7917,6685
1891.875,6661
1891.9583,6873
1892.0417,6835
1892.125,6825
1892.2083,6605
1892.2917,6645
1892.375,6656
1892.4583,6713
1892.5417,6696
1892.625,6715
1892.7083,6724
1892.7917,6796
1892.875,6689
1892.9583,6789
1893.0417,6625
1893.125,6876
1893.2083,6788
1893.2917,6556
1893.375,6637
1893.4583,6664
1893.5417,6719
1893.625,6745
1893.7083,6843
1893.7917,6880
1893.875,6808
1893.9583,6722
1894.0417,6641
1894.125,6807
1894.2083,6676
1894.2917,6614
1894.375,6658
1894.4583,6710
1894.5417,6763
1894.625,6820
1894.7083,6764
1894.7917,6720
1894.875,6776
1894.9583,6895
1895.0417,6687
1895.125,6575
1895.2083,6693
1895.2917,6709
1895.375,6644
1895.4583,6641
1895.5417,6731
1895.625,6691
1895.7083,6619
1895.7917,6826
1895.875,6623
1895.9583,6957
1896.0417,6788
1896.125,6617
1896.2083,6863
1896.2917,6676
1896.375,6610
1896.4583,6702
1896.5417,6729
1896.625,6745
1896.7083,6838
1896.7917,6750
1896.875,6735
1896.9583,6677
1897.0417,6688
1897.125,6790
1897.2083,6825
1897.2917,6685
1897.375,6767
1897.4583,6743
1897.5417,6785
1897.625,6794
1897.7083,6886
1897.7917,6719
1897.875,6725
1897.9583,6712
1898.0417,6763
1898.125,6988
1898.2083,6732
1898.2917,6659
1898.375,6817
1898.4583,6768
1898.5417,6821
1898.625,6799
1898.7083,6736
1898.7917,6725
1898.875,6719
1898.9583,6918
1899.0417,6925
1899.125,6733
1899.2083,6719
1899.2917,6824
1899.375,6742
1899.4583,6714
1899.5417,6794
1899.625,6760
1899.7083,7010
1899.7917,6774
1899.875,6804
1899.9583,6589
1900.0417,6791
1900.125,6765
1900.2083,6659
1900.2917,6637
1900.375,6659
1900.4583,6711
1900.5417,6742
1900.625,6748
1900.7083,6709
1900.7917,6862
1900.875,6671
1900.9583,6852
1901.0417,6729
1901.125,6663
1901.2083,6672
1901.2917,6769
1901.375,6593
1901.4583,6687
1901.5417,6668
1901.625,6756
1901.7083,6768
1901.7917,6858
1901.875,6900
1901.9583,6875
1902.0417,6962
1902.125,6589
1902.2083,6764
1902.2917,6663
1902.375,6807
1902.4583,6727
1902.5417,6758
1902.625,6767
1902.7083,6708
1902.7917,6761
1902.875,6585
1902.9583,6735
1903.0417,6777
1903.125,6837
1903.2083,6763
1903.2917,6921
1903.375,6720
1903.4583,6679
1903.5417,6835
1903.625,6883
1903.7083,6769
1903.7917,6930
1903.875,6935
1903.9583,6692
1904.0417,6716
1904.125,6888
1904.2083,6674
1904.2917,6806
1904.375,6711
1904.4583,6745
1904.5417,6705
1904.625,6760
1904.7083,6632
1904.7917,6777
1904.875,6905
1904.9583,6817
1905.0417,6744
1905.125,6749
1905.2083,6651
1905.2917,6744
1905.375,6647
1905.4583,6711
1905.5417,6740
1905.625,6780
1905.7083,6780
1905.7917,6996
1905.875,6727
1905.9583,6717
1906.0417,6894
1906.125,6762
1906.2083,6930
1906.2917,6609
1906.375,6715
1906.4583,6767
1906.5417,6748
1906.625,6782
1906.7083,6677
1906.7917,6753
1906.875,6808
1906.9583,6932
1907.0417,6751
1907.125,6767
1907.2083,6744
1907.2917,6700
1907.375,6741
1907.4583,6785
1907.5417,6737
1907.625,6794
1907.7083,6664
1907.7917,6680
1907.875,6677
1907.9583,6724
1908.0417,6694
1908.125,6888
1908.2083,6679
1908.2917,6663
1908.375,6730
1908.4583,6718
1908.5417,6697
1908.625,6813
1908.7083,6753
1908.7917,6569
1908.875,6799
1908.9583,6649
1909.0417,6776
1909.125,6703
1909.2083,6674
1909.2917,6674
1909.375,6605
1909.4583,6638
1909.5417,6901
1909.625,6792
1909.7083,6741
1909.7917,6861
1909.875,6881
1909.9583,6924
1910.0417,7020
1910.125,6868
1910.2083,6669
1910.2917,6714
1910.375,6751
1910.4583,6811
1910.5417,6924
1910.625,6783
1910.7083,6799
1910.7917,6711
1910.875,7039
1910.9583,6914
1911.0417,6720
1911.125,6893
1911.2083,6748
1911.2917,6750
1911.375,6708
1911.4583,6745
1911.5417,6721
1911.625,6763
1911.7083,6800
1911.7917,6818
1911.875,6850
1911.9583,6790
1912.0417,6746
1912.125,6804
1912.2083,6885
1912.2917,6751
1912.375,6726
1912.4583,6789
1912.5417,6746
1912.625,6897
1912.7083,6830
1912.7917,6815
1912.875,7027
1912.9583,6970
1913.0417,6670
1913.125,6744
1913.2083,6815
1913.2917,6711
1913.375,6693
1913.4583,6771
1913.5417,6818
1913.625,6795
1913.7083,6778
1913.7917,6861
1913.875,7113
1913.9583,7059
1914.0417,6847
1914.125,6841
