time,value,kalman_value
1921.7083,6751,6776.868645190002
1921.7917,6938,6787.824267670144
1921.875,6727,6748.721312707
1922.125,6611,6716.858795312856
1922.2083,6737,6720.282543022999
1922.2917,6661,6718.133805074141
1922.375,6729,6735.029668816663
1922.4583,6777,6753.935422164739
1922.5417,6805,6765.152982901062
1922.625,6765,6763.088204604406
1922.7083,6750,6760.386161175886
1922.7917,6609,6761.146171472659
1922.875,6960,6812.621572260319
1922.9583,6904,6814.970830468085
1923.0417,6925,6787.64369883188
1923.2083,6533,6714.531133472968
1923.2917,6561,6701.928945938378
1923.375,6709,6736.303073716582
1923.4583,6863,6779.778226066979
1923.5417,6765,6795.51278710637
1923.625,6866,6821.418277181217
1923.7083,6782,6832.463192983137
1923.7917,7005,6860.329173112768
1923.875,6917,6839.97154427999
1923.9583,6818,6793.937763540541
1924.0417,6609,6739.883237314605
1924.125,6725,6729.4564568602045
1924.2083,6717,6720.515162025873
1924.2917,6678,6712.7455878668325
1924.375,6666,6716.55787633007
1924.4583,6721,6737.222790236665
1924.5417,6790,6763.295300888815
1924.625,6784,6780.46624517057
1924.7083,6889,6796.459271175849
1924.7917,6747,6781.605387573077
1924.875,6722,6778.28663316133
1924.9583,6788,6793.730089803361
1925.0417,6930,6811.083576379844
1925.125,6813,6788.798255082942
1925.2083,6741,6758.445685480354
1925.2917,6654,6733.908344371218
1925.375,6640,6736.007118052487
1925.4583,6833,6770.10826441792
1925.5417,6717,6783.245498922658
1925.625,6818,6818.464566401616
1925.7083,6950,6853.83848934778
1925.7917,6881,6857.158575409869
1925.875,6846,6852.531519941914
1925.9583,6997,6850.08163778793
1926.0417,6715,6798.658968229924
1926.125,6679,6775.122621415225
1926.2083,6877,6783.6271484056015
1926.2917,6663,6761.00739153118
1926.375,6731,6771.056765167151
1926.4583,6781,6794.4583938588385
1926.5417,6850,6822.3461538368065
1926.625,6865,6841.01596509371
1926.7083,6853,6851.691098048517
1926.7917,6965,6861.9299303528305
1926.875,6775,6837.812072774753
1926.9583,6901,6834.63157278826
1927.0417,6839,6809.328263731188
1927.125,6643,6774.134375917844
1927.2083,6725,6782.651946743782
1927.2917,6931,6810.38683315098
1927.375,6761,6797.917330608505
1927.4583,6783,6797.753604935532
1927.5417,6769,6802.507747574403
1927.625,6845,6818.431139404742
1927.7083,6894,6825.498244369995
1927.7917,6907,6809.731430791912
1927.875,6709,6761.541760811134
1927.9583,6546,6730.866011100733
1928.0417,6861,6761.812265090577
1928.125,6809,6759.695940777279
1928.2917,6659,6741.144930056408
1928.375,6687,6749.975562687673
1928.4583,6825,6779.798049548162
1928.5417,6826,6794.553219591372
1928.625,6832,6798.826129498373
1928.7083,6793,6792.041082571498
1928.7917,6851,6784.936396501788
1928.9583,6783,6755.810509266009
1929.0417,6614,6717.621458452232
1929.2083,6684,6713.9728937892
1929.2917,6720,6720.315293722567
1929.375,6637,6726.762791563457
1929.4583,6817,6763.131219925498
1929.5417,6759,6781.543388262706
1929.625,6779,6807.4700193541485
1929.7083,6871,6842.886656896974
1929.7917,6988,6868.9321800721245
1929.875,6842,6855.288429937983
1929.9583,6952,6846.074156449836
1930.0417,6836,6801.551268444967
1930.2083,6664,6745.545469921754
1930.2917,6605,6716.721494705793
1930.375,6687,6725.138017725096
1930.4583,6675,6746.267213319431
1930.5417,6847,6791.15214668691
1930.625,6865,6817.4211289500245
1930.7083,6787,6827.830487529814
1930.7917,6986,6851.850008619541
1931.0417,6973,6831.152865915781
1931.125,6657,6763.173345183948
1931.2083,6631,6730.584939513431
1931.2917,6691,6731.191513680725
1931.375,6695,6745.195259074926
1931.4583,6741,6775.930757494103
1931.5417,6895,6818.309841744648
1931.625,6838,6835.125539910076
1931.7083,6866,6850.983084712197
1931.7917,6985,6861.834991085049
1931.875,6705,6831.631894486252
1931.9583,6979,6843.6394293828735
1932.0417,6875,6810.5267740737845
1932.125,6636,6755.923043455957
1932.2083,6637,6741.293660656781
1932.2917,6802,6761.428831409866
1932.375,6757,6768.040279299573
1932.4583,6747,6778.331820289138
1932.5417,6827,6799.067301375081
1932.625,6751,6810.491882919386
1932.7083,6923,6841.7470921034865
1932.7917,6975,6845.917998655416
1932.875,6809,6807.061571425818
1932.9583,6718,6767.55900133816
1933.0417,6669,6744.576098363221
1933.125,6794,6746.7852281760215
1933.2083,6671,6733.256100714163
