time,value
1916.4583,6808
1916.5417,6747
1916.625,6827
1916.7083,6802
1916.7917,6848
1916.875,6733
1916.9583,6872
1917.0417,6608
1917.125,6602
1917.2083,6602
1917.2917,6737
1917.375,6579
1917.4583,6682
1917.5417,6753
1917.625,6784
1917.7083,6892
1917.7917,6962
1917.875,6965
1917.9583,6827
1918.0417,6871
1918.125,6756
1918.2917,6613
1918.375,6558
1918.4583,6785
1918.5417,6750
1918.625,6767
1918.7083,6921
1918.7917,6744
1918.875,6661
1918.9583,6929
1919.0417,6603
1919.125,6644
1919.2083,6686
1919.2917,6647
1919.375,6528
1919.4583,6836
1919.5417,6743
1919.625,6825
1919.7083,6820
1919.7917,6730
1919.875,6634
1919.9583,6834
1920.0417,6935
1920.125,6871
1920.2083,6702
1920.2917,6733
1920.375,6667
1920.4583,6712
1920.5417,6813
1920.625,6829
1920.7083,6768
1920.7917,6536
1920.875,6643
1920.9583,6654
1921.2083,6758
1921.2917,6661
1921.375,6655
1921.4583,6829
1921.5417,6743
1921.625,6811
1921.7083,6751
1921.7917,6938
1921.875,6727
1922.125,6611
1922.2083,6737
1922.2917,6661
1922.375,6729
1922.4583,6777
1922.5417,6805
1922.625,6765
1922.7083,6750
1922.7917,6609
1922.875,6960
1922.9583,6904
1923.0417,6925
1923.2083,6533
1923.2917,6561
1923.375,6709
1923.4583,6863
1923.5417,6765
1923.625,6866
1923.7083,6782
1923.7917,7005
1923.875,6917
1923.9583,6818
1924.0417,6609
1924.125,6725
1924.2083,6717
1924.2917,6678
1924.375,6666
1924.4583,6721
1924.5417,6790
1924.625,6784
1924.7083,6889
1924.7917,6747
1924.875,6722
1924.9583,6788
1925.0417,6930
1925.125,6813
1925.2083,6741
1925.2917,6654
1925.375,6640
1925.4583,6833
1925.5417,6717
1925.625,6818
1925.7083,6950
1925.7917,6881
1925.875,6846
1925.9583,6997
1926.0417,6715
1926.125,6679
1926.2083,6877
1926.2917,6663
1926.375,6731
1926.4583,6781
1926.5417,6850
