time,value
52022.5,-0.6659
52023.5,0.1328
52024.5,-2.0448
52025.5,1.7767
52026.5,0.6778
52027.5,-0.9535
52028.5,-0.0051
52029.5,1.7045
52030.5,3.3538
52031.5,0.7323
52032.5,-0.4331
52033.5,-0.746
52034.5,-0.108
52035.5,-0.473
52036.5,-0.5547
52037.5,1.5538
52038.5,1.1521
52039.5,-2.4056
52040.5,-4.5298
52041.5,-2.136
52042.5,1.5615
52043.5,-1.1401
52044.5,2.2895
52045.5,-1.7404
52046.5,1.0713
52047.5,4.1437
52048.5,4.5081
52049.5,0.1528
52050.5,-1.4693
52051.5,-1.9209
52052.5,1.0316
52053.5,1.1213
52054.5,4.5253
52055.5,6.5753
52056.5,3.2361
52057.5,1.2566
52058.5,0.6892
52059.5,0.4394
52060.5,-2.0009
52061.5,3.6133
52062.5,4.3355
52063.5,1.8597
52064.5,-1.4366
52065.5,2.1909
52066.5,1.5085
52067.5,0.7587
52068.5,4.0909
52069.5,1.606
52070.5,2.7464
52071.5,6.6627
52072.5,2.5298
52073.5,-0.445
52074.5,0.9242
52075.5,0.4652
52076.5,0.7031
52077.5,-2.1024
52078.5,0.9909
52079.5,0.9952
52080.5,0.2153
52081.5,3.581
52082.5,-1.7747
52083.5,5.5085
52084.5,1.6912
52085.5,-2.7751
52086.5,-1.2549
52087.5,1.17
52088.5,-0.04
52089.5,-0.6352
52090.5,0.5428
52091.5,1.1014
52092.5,-0.6697
52093.5,-0.9788
52094.5,1.6303
52095.5,-0.6718
52096.5,-0.1579
52097.5,-3.1133
52098.5,-4.216
52099.5,-5.2185
52100.5,-1.7912
52101.5,-3.4325
52102.5,-0.1623
52103.5,2.8836
52104.5,0.2464
52106.5,0.8317
52107.5,-0.4634
52108.5,0.2361
52109.5,0.9353
52110.5,-1.0733
52111.5,-1.414
52112.5,-0.8759
52113.5,-0.2603
52114.5,4.3489
52115.5,0.0021
52116.5,-1.5255
52117.5,0.3857
52118.5,2.0486
52119.5,1.4685
52120.5,4.9024
52121.5,0.3863
52122.5,-4.2818
52123.5,-1.3914
52124.5,-1.1864
52125.5,-0.3736
52126.5,-4.9472
52127.5,1.5011
52128.5,-5.0538
52129.5,-1.2358
52130.5,4.3796
52131.5,2.4162
52132.5,1.7835
52133.5,0.5142
52134.5,-0.0552
52135.5,-0.3058
52136.5,-3.4051
52137.5,-2.2853
52138.5,0.5852
52139.5,2.4953
52140.5,1.2244
52141.5,-2.0509
52142.5,0.5796
52143.5,1.2867
52144.5,2.5239
52145.5,0.8152
52146.5,3.0146
52147.5,-0.3804
52148.5,2.9585
52149.5,-0.203
52150.5,0.1022
52151.5,1.1305
52152.5,-1.2881
52153.5,-0.3707
52154.5,2.8889
52155.5,1.6596
52156.5,3.3947
52157.5,1.8719
52158.5,1.8202
52159.5,2.0148
52160.5,-0.257
52161.5,-0.5494
52162.5,-0.0548
52163.5,1.2014
52164.5,0.0828
52165.5,0.9665
52166.5,-0.4053
52167.5,-1.0774
52168.5,-1.0761
52169.5,-1.1883
52170.5,-2.9333
52171.5,-0.082
52172.5,0.8854
52173.5,-0.5242
52174.5,-1.2418
52175.5,-2.3912
52176.5,-2.4317
52177.5,-0.0827
52178.5,1.6013
52179.5,-0.6236
52180.5,-0.7152
52181.5,0.104
52182.5,0.4162
52183.5,1.4739
52184.5,-1.8264
52185.5,0.8363
52186.5,2.2611
52187.5,1.9097
52188.5,-1.6695
52189.5,-3.2462
52190.5,-0.5526
52191.5,1.5575
52192.5,0.4458
52193.5,3.3532
52194.5,0.0089
52195.5,0.3396
52196.5,-0.078
52197.5,0.1765
52198.5,-1.2001
52199.5,-0.556
52200.5,1.6447
52201.5,0.2807
52202.5,0.1438
52203.5,-0.2171
52204.5,0.049
52205.5,-1.1363
52206.5,-0.4861
52207.5,-0.0643
52208.5,-0.5046
52209.5,0.4667
52210.5,0.3588
52211.5,0.3393
52212.5,-0.8893
52213.5,-0.7918
52214.5,0.9054
52215.5,-0.1004
52216.5,0.4239
52217.5,-0.1225
52218.5,-0.741
52219.5,-0.9983
52220.5,-2.7504
52221.5,-3.8284
52222.5,-0.0733
52223.5,-0.2104
52224.5,-1.4626
52225.5,7.5344
52226.5,0.8889
52227.5,0.6905
52228.5,1.5986
52229.5,1.5888
52230.5,0.3178
52231.5,0.757
52232.5,-1.0763
52233.5,0.548
52234.5,3.6893
52235.5,5.5209
52236.5,-0.8236
52237.5,6.3257
52238.5,1.9196
52239.5,-0.7211
52240.5,-2.1277
52241.5,0.8034
52242.5,3.2984
52243.5,2.2133
52244.5,3.7443
52245.5,4.7144
52246.5,4.0336
52247.5,-0.1326
52248.5,0.2166
52249.5,2.0656
52250.5,-0.2483
52251.5,-0.287
52252.5,0.4371
52253.5,0.0756
52254.5,-0.1904
52255.5,0.6289
52256.5,0.8621
52257.5,4.1165
52258.5,-2.9026
52259.5,0.7178
52260.5,1.4496
52261.5,0.5602
52262.5,2.0211
52263.5,4.0536
52267.5,-0.1026
52268.5,-0.7273
52269.5,-1.7054
52270.5,-0.4163
52271.5,-2.4945
52272.5,1.3678
52273.5,-1.2724
52274.5,1.3936
52275.5,0.728
52276.5,0.9604
52277.5,3.1673
52278.5,0.0365
52279.5,-1.3676
52280.5,0.0284
52281.5,2.9344
52282.5,0.6553
52283.5,3.5057
52284.5,0.0978
52285.5,0.9875
52286.5,0.8277
52287.5,0.1575
52288.5,1.5741
52289.5,0.2013
52290.5,-1.4549
52291.5,-0.9463
52292.5,-0.929
52293.5,2.6888
52294.5,-0.1093
52295.5,6.6866
52296.5,-0.6101
52297.5,-0.4461
52298.5,-1.8582
52299.5,1.4169
52300.5,0.827
52301.5,1.212
52302.5,6.3208
52303.5,-1.7922
52304.5,-1.2781
52305.5,-0.4136
52306.5,-0.5842
52307.5,-0.942
52308.5,0.9619
52309.5,-0.518
52310.5,-1.0771
52311.5,0.5946
52312.5,7.0034
52313.5,1.5258
52314.5,-0.0835
52315.5,1.4973
52316.5,4.317
52317.5,0.2713
52318.5,1.0625
52319.5,4.8874
52320.5,4.6613
52321.5,5.215
52322.5,4.6422
52323.5,0.088
52324.5,-0.314
52325.5,2.148
52326.5,1.4814
52327.5,1.6018
52328.5,7.4909
52329.5,0.3574
52330.5,-0.7836
52331.5,0.876
52332.5,0.0362
52333.5,3.4435
52334.5,-1.5152
52335.5,0.1089
52336.5,-0.5924
52337.5,1.3879
52338.5,-0.4109
52339.5,5.3449
52340.5,3.1928
52341.5,-0.7158
52342.5,0.695
52343.5,1.4257
52344.5,2.1133
52345.5,11.8668
52351.5,1.8793
52352.5,0.5496
52353.5,0.0076
52354.5,0.5003
52355.5,9.4151
52356.5,10.8378
52357.5,1.2246
52358.5,0.0448
52359.5,2.0568
52360.5,2.0467
52361.5,1.9804
52362.5,1.4121
52363.5,3.1005
52364.5,1.8146
52365.5,1.7132
52366.5,1.5921
52367.5,1.1369
52368.5,2.5715
52369.5,5.9313
52370.5,1.8683
52371.5,1.2632
52372.5,-0.6522
52373.5,-2.3097
52374.5,2.9905
52375.5,3.5691
52376.5,2.113
52377.5,0.7062
52378.5,8.7953
52379.5,5.6798
52380.5,2.6795
52381.5,4.3346
52382.5,6.2752
52383.5,5.8636
52384.5,1.8296
52385.5,0.8493
52386.5,3.3535
52387.5,4.6434
52388.5,-0.8992
52389.5,6.8485
52390.5,1.9513
52391.5,1.5522
52392.5,6.1106
52393.5,2.194
52394.5,3.0474
52395.5,2.6054
52396.5,1.9184
52397.5,1.3254
52398.5,3.3788
52399.5,3.6103
52400.5,6.8018
52401.5,1.9025
52402.5,3.0126
52403.5,13.5967
52404.5,7.5148
52405.5,0.3864
52406.5,1.8514
52407.5,4.1697
52408.5,6.352
52409.5,-0.0958
52410.5,1.3693
52411.5,2.2216
52412.5,4.7177
52413.5,-1.1243
52414.5,3.7653
52415.5,3.2476
52416.5,4.0293
52417.5,1.7863
52418.5,1.9804
52419.5,2.3098
52420.5,0.9207
52421.5,2.6324
52422.5,4.8294
52423.5,2.5
52424.5,-0.1805
52425.5,2.3857
52426.5,7.7745
52427.5,1.762
52428.5,2.237
52429.5,2.0151
52430.5,2.2606
52431.5,2.6102
52432.5,6.557
52433.5,5.7042
52434.5,2.604
