timestamp,actual,predicted
2022.3354,1361.0946,1361.0979
2022.3381,1361.0509,1361.0515
2022.3409,1361.0079,1361.026
2022.3436,1361.037,1360.9867
2022.3463,1361.1034,1361.0746
2022.3491,1361.1338,1361.1838
2022.3518,1361.1656,1361.1713
2022.3546,1361.1125,1361.1768
2022.3573,1361.0635,1361.0409
2022.36,1361.0594,1360.994
2022.3628,1361.1129,1361.0618
2022.3655,1361.1677,1361.1914
2022.3682,1361.224,1361.2491
2022.371,1361.2574,1361.2727
2022.3737,1361.2533,1361.266
2022.3765,1361.1289,1361.2245
2022.3792,1361.0061,1360.9954
2022.3819,1360.9199,1360.876
2022.3847,1360.9609,1360.8561
2022.3874,1361.0897,1361.0424
2022.3901,1361.234,1361.2726
2022.3929,1361.3804,1361.3967
2022.3956,1361.4371,1361.4865
2022.3984,1361.4143,1361.4355
2022.4011,1361.3333,1361.3358
2022.4038,1361.2163,1361.2253
2022.4066,1361.101,1361.1019
2022.4093,1361.0354,1361.0114
2022.412,1361.0022,1361.0056
2022.4148,1360.995,1361.0104
2022.4175,1361.0339,1361.0184
2022.4203,1361.074,1361.0856
2022.423,1361.1553,1361.1205
2022.4257,1361.2205,1361.2274
2022.4285,1361.2505,1361.2784
2022.4312,1361.2822,1361.2616
2022.4339,1361.3304,1361.2893
2022.4367,1361.406,1361.3613
2022.4394,1361.5046,1361.4734
2022.4422,1361.5438,1361.5938
2022.4449,1361.5862,1361.5648
2022.4476,1361.5437,1361.592
2022.4504,1361.4332,1361.4767
2022.4531,1361.3026,1361.3079
2022.4559,1361.2616,1361.1748
2022.4586,1361.2225,1361.239
2022.4613,1361.2524,1361.232
2022.4641,1361.2644,1361.3096
2022.4668,1361.2167,1361.2905
2022.4695,1361.1322,1361.1583
2022.4723,1361.0492,1361.0342
2022.475,1361.033,1360.9673
2022.4778,1361.0548,1361.042
2022.4805,1361.0674,1361.1227
2022.4832,1361.0548,1361.1113
2022.486,1361.0432,1361.0414
2022.4887,1361.0486,1361.0157
2022.4914,1361.0754,1361.0518
2022.4942,1361.117,1361.1173
2022.4969,1361.1508,1361.1743
2022.4997,1361.1862,1361.1871
2022.5024,1361.1863,1361.2078
2022.5051,1361.1837,1361.1736
2022.5079,1361.209,1361.1683
2022.5106,1361.2358,1361.2305
2022.5133,1361.241,1361.2692
2022.5161,1361.1592,1361.2484
2022.5188,1361.0017,1361.0712
2022.5216,1360.8875,1360.8312
2022.5243,1360.7734,1360.7739
2022.527,1360.7855,1360.7064
2022.5298,1360.8265,1360.8468
2022.5325,1360.8925,1360.932
2022.5352,1360.9779,1360.9784
2022.538,1361.064,1361.0513
2022.5407,1361.1359,1361.1249
2022.5435,1361.186,1361.1854
2022.5462,1361.2224,1361.2166
2022.5489,1361.2141,1361.2391
2022.5517,1361.2075,1361.1919
2022.5544,1361.1555,1361.187
2022.5572,1361.1202,1361.1047
2022.5599,1361.1177,1361.0856
2022.5626,1361.1206,1361.1272
2022.5654,1361.1249,1361.1414
2022.5681,1361.1019,1361.1384
2022.5708,1361.0648,1361.0776
2022.5736,1361.0146,1361.0192
2022.5763,1360.9897,1360.9655
2022.5791,1360.9657,1360.9745
2022.5818,1360.9966,1360.965
2022.5845,1361.0563,1361.0413
2022.5873,1361.1415,1361.13
2022.59,1361.2279,1361.2261
2022.5927,1361.3264,1361.3018
2022.5955,1361.4275,1361.397
2022.5982,1361.4973,1361.4983
2022.601,1361.4622,1361.5378
2022.6037,1361.4297,1361.3989
2022.6064,1361.3695,1361.3667
