,Model Name,Train RMSE,Train MAE,Train MSE,Train R^2,Validation RMSE,Validation MAE,Validation MSE,Validation R^2,Test RMSE,Test MAE,Test MSE,Test R^2,Training Time (s),Learning Rate,Hidden Dim,Num Layers,Dropout,Window Size,Patience,Delta
TCN_20250304_201949,TCN,3.2703188513827626,2.5726120471954346,10.694985389709473,0.9949626326560974,3.405804666227867,2.6276562213897705,11.599505424499512,0.9946174025535583,16.262097360023244,14.041513442993164,264.455810546875,0.03619980812072754,211.05966520309448,0.001,32,2,0.1,20,100,0
TCN_20250304_202233,TCN,3.255380138695343,2.5588877201080322,10.59749984741211,0.9950085282325745,3.3762918048686985,2.5970304012298584,11.399346351623535,0.9947102665901184,18.035746365832946,14.934626579284668,325.28814697265625,-0.1855015754699707,160.62771701812744,0.001,32,2,0.1,20,100,0
TCN_20250304_202409,TCN,3.2984810483398754,2.592130661010742,10.879977226257324,0.9948754906654358,3.3791654807079663,2.594896078109741,11.4187593460083,0.9947012662887573,7.6257043732038285,6.28102970123291,58.1513671875,0.7880693078041077,93.24336671829224,0.001,32,2,0.1,20,100,0
TCN_20250304_202458,TCN,3.501528270031541,2.750427007675171,12.260700225830078,0.9942252039909363,3.4127616586383343,2.631627321243286,11.646942138671875,0.9945954084396362,14.645435629916888,12.473550796508789,214.48878479003906,0.2183029055595398,46.082804441452026,0.001,32,2,0.1,20,100,0
TCN_20250304_202609,TCN,3.4422084120272345,2.7039096355438232,11.848798751831055,0.9944191575050354,3.422968998743258,2.634561538696289,11.716716766357422,0.9945630431175232,14.933687242219769,12.652203559875488,223.0150146484375,0.18722939491271973,67.77956104278564,0.001,32,2,0.1,20,100,0
TCN_20250304_202752,TCN,3.3434546509547163,2.621532917022705,11.178689002990723,0.9947348237037659,3.410611641137495,2.6260011196136475,11.632271766662598,0.9946022033691406,12.171551564220099,10.522109985351562,148.14666748046875,0.46008455753326416,99.57501864433289,0.001,32,2,0.1,20,100,0
TCN_20250304_202937,TCN,3.30667105230943,2.604966402053833,10.934073448181152,0.9948500394821167,3.376727615690073,2.6019580364227295,11.402289390563965,0.9947089552879333,6.6004821254458435,5.397282600402832,43.56636428833008,0.8412238955497742,101.97491431236267,0.001,32,2,0.1,20,100,0
TCN_20250304_203159,TCN,3.27923027729799,2.5812032222747803,10.753351211547852,0.994935154914856,3.3756050697759608,2.6034936904907227,11.394709587097168,0.9947124719619751,14.251669267292757,12.175908088684082,203.11007690429688,0.25977224111557007,139.03785252571106,0.001,32,2,0.1,20,100,0
TCN_20250304_212726,TCN,3.3018135578331673,2.597874164581299,10.901972770690918,0.9948651194572449,3.411649291928067,2.6192140579223633,11.639350891113281,0.994598925113678,11.157455251006954,9.511420249938965,124.48880767822266,0.5463048219680786,119.91963005065918,0.001,32,2,0.1,20,100,0
LSTM_20250304_220206,LSTM,26.008101154901595,20.33034896850586,676.4213256835938,0.9221867322921753,30.694971484170864,23.89670753479004,942.1812744140625,0.8901557326316833,30.43543852105223,23.909122467041016,926.31591796875,0.8635163903236389,19.40877938270569,0.001,32,2,0.2,20,250,0
LSTM_20250304_220303,LSTM,26.778619875226486,20.99806022644043,717.094482421875,0.9175078272819519,29.0469569491851,21.946311950683594,843.7257080078125,0.9016342163085938,31.194402691466042,24.365957260131836,973.0907592773438,0.8566246032714844,19.10999846458435,0.001,32,2,0.2,20,250,0
