,Model Name,Train RMSE,Train MAE,Train MSE,Train R^2,Validation RMSE,Validation MAE,Validation MSE,Validation R^2,Test RMSE,Test MAE,Test MSE,Test R^2,Training Time (s),Learning Rate,Hidden Dim,Num Layers,Dropout,Window Size,Patience,Delta
TCN_20250301_145131,TCN,40.97837743239948,30.68683433532715,1679.2274169921875,0.8327100872993469,44.961057639935056,34.00929641723633,2021.4967041015625,0.7745142579078674,46.6922296173638,33.91196823120117,2180.164306640625,0.7307814359664917,10.2782461643219,0.001,32,2,0.2,20,250,0
TCN_ekan_20250301_145255,TCN_ekan,39.612057663099094,29.697660446166992,1569.1151123046875,0.8436798453330994,45.806027318158414,34.289794921875,2098.192138671875,0.7659593820571899,49.032930480284115,36.08158874511719,2404.228271484375,0.7031128406524658,12.41643238067627,0.001,32,2,0.2,20,250,0
TCN_ekan_20250301_145338,TCN_ekan,38.64491800353573,29.442707061767578,1493.4296875,0.851219892501831,44.82928909912372,33.586795806884766,2009.6651611328125,0.7758340239524841,50.46137717044096,37.467193603515625,2546.3505859375,0.6855628490447998,16.48242211341858,0.001,32,2,0.2,20,250,0
TCN_ekan_20250301_145416,TCN_ekan,40.53567101948604,30.75562286376953,1643.140625,0.8363052010536194,45.217437999280214,34.599342346191406,2044.61669921875,0.7719353437423706,48.41586462375349,35.054691314697266,2344.095947265625,0.7105383276939392,13.431736946105957,0.001,32,2,0.2,20,250,0
TimeGNN_20250301_145531,TimeGNN,41.32056582570294,31.467365264892578,1707.38916015625,0.8299045562744141,47.77689646615297,35.68893814086914,2282.6318359375,0.7453862428665161,81.92178708511399,63.9814338684082,6711.17919921875,0.17126715183258057,48.726120471954346,0.001,32,2,0.2,20,250,0
TimeGNN_20250301_145631,TimeGNN,42.75559059753181,32.52839279174805,1828.04052734375,0.8178848624229431,49.6555567525554,38.215213775634766,2465.67431640625,0.7249689698219299,121.19998565774462,100.55305480957031,14689.4365234375,-0.8139313459396362,30.800930976867676,0.001,32,2,0.2,20,250,0
TimeGNN_20250301_145728,TimeGNN,42.5965986299816,32.565860748291016,1814.47021484375,0.8192368149757385,47.70004903282988,36.19269943237305,2275.294677734375,0.7462046146392822,61.15895657015414,45.17548751831055,3740.41796875,0.5381128787994385,31.913678884506226,0.001,32,2,0.2,20,250,0
BiLSTM_20250301_145828,BiLSTM,42.03892820202485,31.82529640197754,1767.271484375,0.8239388465881348,45.84175555903564,33.92826461791992,2101.466552734375,0.7655941247940063,48.28211720499501,35.74889373779297,2331.162841796875,0.712135374546051,26.915895700454712,0.001,32,2,0.2,20,250,0
BiLSTM_ekan_20250301_150043,BiLSTM_ekan,39.337697794525766,29.644763946533203,1547.4544677734375,0.8458377122879028,46.12273453108564,34.08202362060547,2127.306640625,0.7627118229866028,49.82606220251983,36.76255416870117,2482.636474609375,0.6934305429458618,42.01353669166565,0.001,32,2,0.2,20,250,0
BiLSTM_ekan_20250301_150144,BiLSTM_ekan,41.14869336710842,30.899154663085938,1693.2149658203125,0.8313165903091431,46.03777851700981,34.64370346069336,2119.47705078125,0.7635851502418518,49.634801554862946,35.999717712402344,2463.613525390625,0.6957796812057495,37.24912905693054,0.001,32,2,0.2,20,250,0
